#epsp #epsq #p #q #epsev #epses #Tg #pd #qd #e #t 
0.00000e+00 0.00000e+00 1.00000e+02 0.00000e+00 5.18230e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 4.23000e-01 0.00000000 
0.00000e+00 1.00000e-04 9.98392e+01 4.43718e-01 5.17812e-02 9.97245e-05 9.35614e-04 0.00000e+00 2.24413e-02 4.23000e-01 5.00000000 
0.00000e+00 2.00000e-04 9.95025e+01 8.81159e-01 5.16935e-02 1.98374e-04 1.20945e-03 0.00000e+00 2.90135e-02 4.23000e-01 10.00000000 
0.00000e+00 3.00000e-04 9.91289e+01 1.31189e+00 5.15958e-02 2.95904e-04 1.25725e-03 0.00000e+00 3.01606e-02 4.23000e-01 15.00000000 
0.00000e+00 4.00000e-04 9.87516e+01 1.73642e+00 5.14967e-02 3.92413e-04 1.26398e-03 0.00000e+00 3.03220e-02 4.23000e-01 20.00000000 
0.00000e+00 5.00000e-04 9.83769e+01 2.15426e+00 5.13979e-02 4.87825e-04 1.26472e-03 0.00000e+00 3.03398e-02 4.23000e-01 25.00000000 
0.00000e+00 6.00000e-04 9.80050e+01 2.56629e+00 5.12995e-02 5.82284e-04 1.26487e-03 0.00000e+00 3.03435e-02 4.23000e-01 30.00000000 
0.00000e+00 7.00000e-04 9.76362e+01 2.97260e+00 5.12015e-02 6.75800e-04 1.26490e-03 0.00000e+00 3.03442e-02 4.23000e-01 35.00000000 
0.00000e+00 8.00000e-04 9.72704e+01 3.37325e+00 5.11039e-02 7.68385e-04 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 40.00000000 
0.00000e+00 9.00000e-04 9.69075e+01 3.76834e+00 5.10067e-02 8.60049e-04 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 45.00000000 
0.00000e+00 1.00000e-03 9.65477e+01 4.15794e+00 5.09100e-02 9.50804e-04 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 50.00000000 
0.00000e+00 1.10000e-03 9.61908e+01 4.54213e+00 5.08137e-02 1.04066e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 55.00000000 
0.00000e+00 1.20000e-03 9.58369e+01 4.92100e+00 5.07178e-02 1.12963e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 60.00000000 
0.00000e+00 1.30000e-03 9.54859e+01 5.29463e+00 5.06223e-02 1.21773e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 65.00000000 
0.00000e+00 1.40000e-03 9.51379e+01 5.66314e+00 5.05273e-02 1.30498e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 70.00000000 
0.00000e+00 1.50000e-03 9.47926e+01 6.02667e+00 5.04327e-02 1.39138e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 75.00000000 
0.00000e+00 1.60000e-03 9.44502e+01 6.38531e+00 5.03386e-02 1.47697e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 80.00000000 
